# Taxonomy	Num	Mean	Stddev
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	1	4.5	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	3	2.32222222222222	0.45569103676466
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales	2	2.4375	0.4375
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	3	2.91666666666667	0.82495791138431
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	3	2	0.81649658092773
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	2	3.12539682539683	0.43015873015873
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales	1	4	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales	1	2	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	1	8.75	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	7	7.6530612244898	2.19176452585043
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	1	3	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	5	1.83333333333333	0.49441323247304
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	1	5.66542664496629	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	2	1.92857142857143	0.92857142857143
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales	1	3	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	5	4.65	1.88148877222268
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	1	5.75	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	2	5.30729166666667	0.13020833333333
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	1	3	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	1	11.0611111111111	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	1	2.875	0
k__Bacteria;p__Spirochaetes;c__Brachyspirae;o__Brachyspirales	1	1	0
k__Bacteria;p__Spirochaetes;c__Leptospirae;o__Leptospirales	1	2	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales	1	1.88095238095238	0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	2	3	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales	1	2	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales	1	2	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales	1	1.68181818181818	0
k__Bacteria;p__Thermi;c__Deinococci;o__Deinococcales	1	3.75	0
k__Bacteria;p__Thermi;c__Deinococci;o__Thermales	1	2	0
k__Bacteria;p__Thermotogae;c__Thermotogae;o__Thermotogales	1	2.1	0
k__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae;o__Methylacidiphilales	1	1	0
