# Taxonomy	Num	Mean	Stddev
k__Bacteria;p__Spirochaetes;c__Leptospirae;o__Leptospirales	1	2	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales	1	1.88536155202822	0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	2	2.5	0.5
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales	1	2	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales	1	2	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales	1	1.8844696969697	0
k__Bacteria;p__Thermi;c__Deinococci;o__Deinococcales	1	3.75	0
k__Bacteria;p__Thermi;c__Deinococci;o__Thermales	1	2	0
k__Bacteria;p__Thermotogae;c__Thermotogae;o__Thermotogales	1	2.1	0
k__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae;o__Methylacidiphilales	1	1	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales	1	1	0
k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Spartobacteriales	1	1	0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	1	3	0

k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae	2	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae	3	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Pyrodictiaceae	1	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae	3	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermofilaceae	1	1	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae	2	1	0
k__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae	1	1	0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae	9	2.11111111111111	0.87488976377909
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	3	2.66666666666667	0.94280904158206
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae	1	2	0
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae	1	2.75	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae	1	2	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae	1	3	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae	2	1.5	0.5
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae	1	4	0
